building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,0,2016-01-26 16:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-01-26 23:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-02-17 21:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-02-21 15:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-03-03 00:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-03-21 19:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-03-23 04:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-04-09 07:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-04-15 14:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-04-22 04:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-05-04 07:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-05-13 20:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-05-14 05:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-05-15 21:00:00,0.0,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-05-20 22:00:00,252.547,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-06-14 14:00:00,253.912,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-06-24 08:00:00,302.374,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-08-05 01:00:00,260.055,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-08-06 13:00:00,303.057,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-08-07 02:00:00,290.088,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-08-15 07:00:00,323.534,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-08-25 15:00:00,252.547,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-08-27 19:00:00,232.753,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-09-26 07:00:00,253.912,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-10-12 00:00:00,260.738,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-11-11 11:00:00,182.24400000000003,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-11-20 03:00:00,167.91,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-11-26 12:00:00,189.752,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-11-30 04:00:00,215.006,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-12-24 17:00:00,179.513,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
0,0,2016-12-25 07:00:00,238.21400000000003,0,Education,7432,2008.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
1,0,2016-01-08 21:00:00,0.0,0,Education,2720,2004.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
1,0,2016-01-11 02:00:00,0.0,0,Education,2720,2004.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
1,0,2016-01-28 15:00:00,0.0,0,Education,2720,2004.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1
