building_id,meter,meter_reading,site_id,primary_use,square_feet,year_built,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,hour,day,weekday,month,lag_1h,lag_24h,lag_48h,y_1h,y_24h,y_48h
167,0,57.54,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,14,19,6,6,223.883,61.1932,57.68,280.926,77.63,85.95
167,1,280.926,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,6,22,2,6,57.54,118.52,31.770699999999998,309.131,324.5,12.2035
167,1,309.131,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,2,24,4,6,280.926,11.7228,5.8614,2.9307,252.22866666666667,2.9307
167,3,2.9307,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,3,25,5,6,309.131,82.0129,5.8614,2.9307,179.95733333333334,83.95
167,3,2.9307,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,2,28,1,6,2.9307,78.21,5.8614,61.97,107.686,23.4457
167,0,61.97,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,6,4,0,7,2.9307,67.4532,65.41,319.26,76.43,41.0299
167,1,319.26,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,15,5,1,7,61.97,2.9307,98.6125,66.85,100.31,83.57
167,0,66.85,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,20,6,2,7,319.26,2.9307,0.3165,286.201,147.83133333333333,42.330099999999995
167,1,286.201,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,5,14,3,7,66.85,5.8614,17.5843,66.94,195.35266666666666,1.0902
167,0,66.94,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,3,15,4,7,286.201,139.584,12.7662,64.23,242.874,35.1685
167,0,64.23,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,23,17,6,7,66.94,99.26,14.6536,342.04900000000004,178.304,81.15
167,1,342.04900000000004,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,19,20,2,7,64.23,167.93,14.6536,342.629,178.1105,20.515
167,3,342.629,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,23,20,2,7,342.04900000000004,2.9307,73.79,343.209,177.917,73.68
167,1,343.209,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,7,21,3,7,342.629,108.87,73.32,353.514,147.2735,30.8779
167,1,353.514,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,22,27,2,7,343.209,106.03,20.515,331.25199999999995,116.63,23.4457
167,1,331.25199999999995,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,0,3,2,8,353.514,101.73,92.43,63.08,105.49355,67.67
167,0,63.08,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,16,5,4,8,331.25199999999995,93.23,1.5826,338.216,94.3571,38.0992
167,1,338.216,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,4,14,6,8,63.08,130.018,84.35,401.167,100.13,0.9495
167,1,401.167,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,0,17,2,8,338.216,59.94,78.48,403.066,112.542,64.07
167,1,403.066,2,4,86323,1956.0,17.2,0.0,7.8,0.0,1015.9,160.0,3.1,1,17,2,8,401.167,2.9307,0.7034,239.858,124.954,67.06
188,0,10.92,2,6,23549,1941.0,16.7,0.0,-11.1,0.0,1025.8,160.0,1.5,8,1,4,1,10.92,10.92,10.92,10.92,10.92,10.92
